Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-04-21,33.94740273141907,34.386853001296906,33.94740273141907,34.3282585144043,16502600,0.0,0.0
2006-04-24,34.31360324620495,34.52600402914069,34.211065707943106,34.474735260009766,12568100,0.0,0.0
2006-04-25,34.438111119621794,34.54797155762843,34.29895344723816,34.4893798828125,12677000,0.0,0.0
2006-04-26,34.4967007963299,34.9947425761391,34.46008065244879,34.94347381591797,19058900,0.0,0.0
2006-04-27,34.85559370555546,36.0201324559795,34.79699922541253,35.91759490966797,34554500,0.0,0.0
2006-04-28,35.837026238192486,36.60606057242364,35.815054706737946,36.56211471557617,29595900,0.0,0.0
2006-05-01,36.50351568026763,36.62070181431593,35.96152806408311,36.02012252807617,21093000,0.0,0.0
2006-05-02,36.07871727454079,36.371684031611544,36.07871727454079,36.22520065307617,19227800,0.0,0.0
2006-05-03,36.086045437375326,36.32774065356932,36.04942528873239,36.10801696777344,13745200,0.0,0.0
2006-05-04,36.291118284923684,36.584085044022316,36.27646966757494,36.576759338378906,15863000,0.0,0.0
2006-05-05,36.620699830269785,36.98690682857248,36.584079689227046,36.964935302734375,19401000,0.0,0.0
2006-05-08,36.76719990263855,36.855088839882704,36.620716477939006,36.7012825012207,10721900,0.0,0.0
2006-05-09,36.70126931995839,36.87704713131608,36.65000055881757,36.75986099243164,10343700,0.0,0.0
2006-05-10,36.642686444307266,36.942976194806974,36.43028842122612,36.74522399902344,11892500,0.0,0.0
2006-05-11,36.840423034605195,36.840423034605195,36.21054655794659,36.39365005493164,11227700,0.0,0.0
2006-05-12,36.39365612966257,36.51084227553589,35.98350601607499,36.03477478027344,15232200,0.0,0.0
2006-05-15,35.88828764742497,36.45224678858561,35.59532091640148,36.291114807128906,13367300,0.0,0.0
2006-05-16,36.34238797285492,36.47422273840803,36.17393305996776,36.35703659057617,8121100,0.0,0.0
2006-05-17,36.10802119315595,36.11534690010474,35.3756069588366,35.566036224365234,20638000,0.0,0.0
2006-05-18,35.63195202609883,35.91759311769815,35.22179906737712,35.243770599365234,13165300,0.0,0.0
2006-05-19,35.41222938497114,35.580687128344294,35.1558855040794,35.3536376953125,15761800,0.0,0.0
2006-05-22,35.35362773782644,35.69053754180329,35.236441597576324,35.3463020324707,16162600,0.0,0.0
2006-05-23,35.70520044166017,35.80773800615468,35.28772447539588,35.324344635009766,12592100,0.0,0.0
2006-05-24,35.302356000605116,35.67588591806353,35.16319554995498,35.50743103027344,17052700,0.0,0.0
2006-05-25,35.70518629582287,35.939558577224005,35.46348830903784,35.82237243652344,13871200,0.0,0.0
2006-05-26,35.998144411444656,36.335054135918625,35.78574370925734,36.16659927368164,15352800,0.0,0.0
2006-05-30,36.02013765131101,36.05675780971292,35.63195894316059,35.6685791015625,14796800,0.0,0.0
2006-05-31,35.779571246434195,35.942374754166735,35.44656817759383,35.81657409667969,15518900,0.5,0.0
2006-06-01,35.816571249530284,36.06817536742487,35.77216952651798,36.03857421875,14188200,0.0,0.0
2006-06-02,36.4233817149112,36.578783515476616,36.20137591647946,36.452980041503906,13392700,0.0,0.0
2006-06-05,36.408584869743116,36.61578729172222,36.00897777913661,36.068180084228516,10750300,0.0,0.0
2006-06-06,36.11256899292044,36.31977418045927,35.54275966729952,35.91276550292969,15816700,0.0,0.0
2006-06-07,35.8905712862691,36.43818124488707,35.75736894019773,36.149574279785156,12480200,0.0,0.0
2006-06-08,36.00897988851472,36.408587002529906,35.90537867145629,36.28278350830078,15392800,0.0,0.0
2006-06-09,36.1495891954956,36.408595118801195,35.986788456506844,36.10519027709961,11685300,0.0,0.0
2006-06-12,36.11257878777771,36.26798060339127,35.77957288080487,35.823974609375,9570900,0.0,0.0
2006-06-13,35.63155789846062,36.00156368007322,34.59554058077733,34.83234405517578,22932100,0.0,0.0
2006-06-14,34.765764355931275,34.97296681816698,33.936951684066635,34.51416015625,20908100,0.0,0.0
2006-06-15,34.67696362299868,35.57237748748017,34.63256188565677,35.453975677490234,21674900,0.0,0.0
2006-06-16,35.29855957108312,35.4391607814823,35.06915492187539,35.09135437011719,21387400,0.0,0.0
2006-06-19,35.4687691427348,35.4687691427348,34.81755790694083,34.884159088134766,10154500,0.0,0.0
2006-06-20,34.78796020824487,35.12096614727395,34.78056133089824,34.83976364135742,12954900,0.0,0.0
2006-06-21,34.802758737765934,35.20236584108451,34.802758737765934,35.00996398925781,11575200,0.0,0.0
